id,author
1109,Betty Hill
1110,Betty White
1111,Bev Perdue
1112,Beverley Mitchell
1113,Beverley Nichols
1114,Beverly Cleary
1115,Beverly Sills
1116,Beyonce Knowles
1117,Bharati Mukherjee
1118,Bhumibol Adulyadej
1119,Bianca Jagger
1120,Big Boi
1121,Big Sean
1122,Bijou Phillips
1123,Bil Keane
1124,Bilawal Bhutto Zardari
1125,Bill Alexander
1126,Bill Ayers
1127,Bill Berry
1128,Bill Blass
1129,Bill Bowerman
1130,Bill Bradley
1131,Bill Brandt
1132,Bill Bryson
1133,Bill Budge
1134,Bill Condon
1135,Bill Conti
1136,Bill Copeland
1137,Bill Cosby
1138,Bill Dana
1139,Bill Forsyth
1140,Bill Frist
1141,Bill Gates
1142,Bill Goldberg
1143,Bill Griffith
1144,Bill Hicks
1145,Bill Hunter
1146,Bill Hybels
1147,Bill James
1148,Bill Keller
1149,Bill Kreutzmann
1150,Bill Kristol
1151,Bill Kurtis
1152,Bill Laswell
1153,Bill Lee
1154,Bill Maher
1155,Bill Mauldin
1156,Bill McCartney
1157,Bill McCollum
1158,Bill Monroe
1159,Bill Moyers
1160,Bill Mumy
1161,Bill Murray
1162,Bill Nelson
1163,Bill Nighy
1164,Bill Nye
1165,Bill O'Reilly
1166,Bill Owens
1167,Bill Parcells
1168,Bill Pascrell
1169,Bill Pullman
1170,Bill Rancic
1171,Bill Richardson
1172,Bill Rodgers
1173,Bill Russell
1174,Bill Scott
1175,Bill Shankly
1176,Bill Shuster
1177,Bill Sienkiewicz
1178,Bill Skarsgard
1179,Bill Toomey
1180,Bill Vaughan
1181,Bill Veeck
1182,Bill Walton
1183,Bill Watterson
1184,Bill Williams
1185,Bill Wyman
1186,Bille August
1187,Billie Holiday
1188,Billie Jean King
1189,Billie Joe Armstrong
1190,Billy Baldwin
1191,Billy Barty
1192,Billy Bob Thornton
1193,Billy Bragg
1194,Billy Burke
1195,Billy Bush
1196,Billy Campbell
1197,Billy Carter
1198,Billy Connolly
1199,Billy Corgan
1200,Billy Crystal
1201,Billy Dee Williams
1202,Billy Gardell
1203,Billy Graham
1204,Billy Idol
1205,Billy Joel
1206,Billy Ocean
1207,Billy Preston
1208,Billy Ray Cyrus
1209,Billy Sheehan
1210,Billy Sherwood
1211,Billy Strayhorn
1212,Billy Sunday
1213,Billy Tauzin
1214,Billy West
1215,Billy Wilder
1216,Billy Zane
1217,Bindi Irwin
1218,Bing Crosby
1219,Birch Bayh
1220,Birdy
1221,Bjarne Stroustrup
1222,Bjork
1223,Bjorn Borg
1224,Bjorn Lomborg
1225,Bjorn Ulvaeus
1226,Black Elk
1227,Black Kettle
1228,Blaine Lee
1229,Blair Underwood
1230,Blaise Pascal
1231,Blake Edwards
1232,Blake Lively
1233,Blake Shelton
1234,Blanche Lincoln
1235,Blanka Vlasic
1236,Blu Cantrell
1237,Bo Bennett
1238,Bo Derek
1239,Bo Jackson
1240,Bob Balaban
1241,Bob Barker
1242,Bob Barr
1243,Bob Beamon
1244,Bob Beauprez
1245,Bob Brown
1246,Bob Corker
1247,Bob Cousy
1248,Bob Dole
1249,Bob Dylan
1250,Bob Edwards
1251,Bob Ehrlich
1252,Bob Etheridge
1253,Bob Feller
1254,Bob Filner
1255,Bob Geldof
1256,Bob Goodlatte
1257,Bob Graham
1258,Bob Greene
1259,Bob Hawke
1260,Bob Hayes
1261,Bob Hope
1262,Bob Hoskins
1263,Bob Iger
1264,Bob Kane
1265,Bob Keeshan
1266,Bob Kerrey
1267,Bob Lemon
